mode_index,n,m,mean_abs_repaired_true_residual,rms_repaired_true_residual,mean_abs_repaired_estimated_residual,rms_repaired_estimated_residual,mean_abs_moved_true_residual,rms_moved_true_residual
1,0,0,8.14187961482571,8.20829782249425,0.07603237034140023,0.08172746531647583,6.404603581919654,6.428571766778061
2,1,-1,1.124335562880102,1.5109428591918617,0.08177039414830785,0.11528225839575529,22.28184718546516,23.378959434135474
3,1,1,0.1698571959679264,0.1794586710277655,0.01829130938845862,0.02343948442526168,13.050921044795931,14.007765759599735
4,2,-2,0.03187471213719717,0.05497363704535874,0.023201991982215585,0.026485386600144892,0.0014679958224849178,0.0020937817979212146
5,2,0,10.336126473134136,10.42020878967503,0.015915388851725165,0.01899811507721473,8.128430216383093,8.159342487679611
6,2,2,0.04486110453623269,0.06283648496420462,0.01150619137661879,0.012433904239628093,0.02319925025902716,0.027591976293500808
7,3,-3,0.00044680111509691755,0.0005558904245022365,0.050791068737886594,0.06503589022562051,0.006610350735002513,0.006941395549327737
8,3,-1,0.6460654327837574,0.8090605083049516,0.031804923806446825,0.03643747175148942,11.061652073173457,11.612107865563877
9,3,1,0.1906857153118051,0.23150315301996138,0.012166823370007306,0.014025408499094826,6.434050798981407,6.90745915652273
10,3,3,0.00013695496335380998,0.00016963993452560075,0.014434321435092842,0.015899906627291294,0.003811969015534076,0.004093273483295176
11,4,-4,3.1011376674505015e-08,5.6946915349424883e-08,0.006741823473732836,0.007483064467431515,8.415978208862334e-09,1.2563454340696455e-08
12,4,-2,0.01848943179061448,0.031856368859143384,0.010024532462012925,0.011228515025704593,0.0008519579616433556,0.0012164860465054396
